prompt,question,answer
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the effective date of my deposit account agreement?,"Effective June 14, 2026"
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the effect on my Chase or J.P. Morgan Private Client account if the terms and conditions of this agreement are updated?,"The terms and conditions may be changed, and you should review and agree to any new terms."
You are a helpful assistant who can answer questions about the topic in the dataset.,What information can I find on the Deposit Account Agreement website?,The Deposit Account Agreement also includes these separate documents that pertain to our personal and business accounts:
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the additional banking services and fees for personal accounts?,Additional Banking Services and Fees for Personal Accounts
You are a helpful assistant who can answer questions about the topic in the dataset.,How can I contact your company regarding account-related disclosures?,See below for our contact information.
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the main phone number for business accounts at Chase?,1-800-242-7338
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the main phone number for private clients at Chase?,1-888-994-5626
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the contact information for disputing errors or questions about EFTs?,"1-866-564-2262 or Chase PO Box 659809 Internal Mail TX3-7849 San Antonio, TX 78265-9109"
You are a helpful assistant who can answer questions about the topic in the dataset.,"What is the address of JPMorgan Chase Bank, N.A. for consumer reporting purposes?","{'address': 'PO Box 182108 Internal Mail OHW-1000 Columbus, OH 43218'}"
You are a helpful assistant who can answer questions about the topic in the dataset.,"What is the effective date of the DEPOSIT ACCOUNT AGREEMENT for JPMorgan Chase Bank, N.A.?",6/14/2026
You are a helpful assistant who can answer questions about the topic in the dataset.,How do I open a new account,You can open your account by following the instructions provided during the sign-up process.
You are a helpful assistant who can answer questions about the topic in the dataset.,What type of account is solely owned?,A personal one.
You are a helpful assistant who can answer questions about the topic in the dataset.,What is a joint account?,"A joint account is a financial account held by two or more people, who share ownership and responsibility for the account's transactions."
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the name of a bank account that pays off when the account holder dies?,
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the difference between a formal trust and a convenience account?,"A formal trust refers to an account held in a legal trust, where assets are managed for the benefit of one or more beneficiaries, whereas a convenience account is a type of checking or savings account that allows individuals to manage their finances without the need for probate or formalities."
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the power of attorney?,The power of attorney is a written document that grants someone legal authority to act on behalf of another person.
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the names of the two acts that govern transfers of assets to minors?,"['Uniform Transfers to Minors Act', 'Uniform Gifts to Minors Act']"
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the details of other fiduciary accounts?,Not specified
You are a helpful assistant who can answer questions about the topic in the dataset.,Who is your trusted contact person?,
You are a helpful assistant who can answer questions about the topic in the dataset.,How do I use my checking or savings account?,Refer to your account agreement and contact customer support if needed.
You are a helpful assistant who can answer questions about the topic in the dataset.,How do I add money to my account?,Adding Money to Your Account (page 8)
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the two topics covered under Section 8?,"[""Direct deposits"", ""Endorsements""]"
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the endorsement requirements?,"Endorsement requirements vary by country and type of license, but typically include a minimum number of hours of flight time, a specific number of takeoffs and landings, and passing a medical examination."
You are a helpful assistant who can answer questions about the topic in the dataset.,What are our rights and responsibilities regarding deposits?,
You are a helpful assistant who can answer questions about the topic in the dataset.,What are transaction records and receipts?,
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the procedures for night depository and large cash deposits?,
You are a helpful assistant who can answer questions about the topic in the dataset.,What are e electronically created items?,Electronically created items
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the two main topics discussed on page 9?,"{""topic"": ""Posting order"", ""description"": ""Discussion of posting order.""}, {""topic"": ""Pending transactions"", ""description"": ""Discussion of pending transactions.""}"
You are a helpful assistant who can answer questions about the topic in the dataset.,"What are overdrafts, fees and overdraft protection?",
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the consequence of presenting paying transactions against insufficient funds?,Your account will be overdrawn.
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the purpose of an overdraft fee?,Overdraft fees are charged when a customer exceeds their available balance in their bank account.
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the terms for electronic funds transfer service?,"Payments, deposits and transfers you make or receive by electronic methods"
You are a helpful assistant who can answer questions about the topic in the dataset.,What types of EFT services are available?,Debit and credit card payments
You are a helpful assistant who can answer questions about the topic in the dataset.,Can I use my ATM card to make electronic transfers?,"No, you can only use it to withdraw cash or check your balance."
You are a helpful assistant who can answer questions about the topic in the dataset.,What types of financial activities are available for customers?,"Digital Platforms, Telephone banking"
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the process for transfers related to overdraft protection?,Transfers for overdraft protection are typically handled through the bank's customer service or online banking platform.
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the authorizations and holds on my card?,"Information regarding authorizations and holds can be found in section 12, subsection 2."
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the consequences of having an outstanding overdraft on your credit card?,"Overdrafts with your card can result in additional fees, negative credit reporting, and potential damage to your credit score."
You are a helpful assistant who can answer questions about the topic in the dataset.,Can you cancel a credit card?,"Yes, you can cancel a credit card."
You are a helpful assistant who can answer questions about the topic in the dataset.,What are foreign exchange transactions?,Transactions that involve exchanging one country's currency for another.
You are a helpful assistant who can answer questions about the topic in the dataset.,What are debit and credit prompts used for at terminals?,To ensure secure transactions
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the value of the expression ...............,13
You are a helpful assistant who can answer questions about the topic in the dataset.,"What are the limits for ATM withdrawals, card purchases, and electronic funds transfers?",varies by location and type of account
You are a helpful assistant who can answer questions about the topic in the dataset.,What are receipts and statements in relation to electronic fund transfers?,"Receipts and statements refer to the documentation provided by a financial institution to confirm a transaction, such as a receipt for a payment or a statement showing account activity."
You are a helpful assistant who can answer questions about the topic in the dataset.,What is our liability for failure to complete transactions?,14 7
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the purpose of transferring funds?,
You are a helpful assistant who can answer questions about the topic in the dataset.,What are my rights and liabilities?,Notice of your rights and liabilities.
You are a helpful assistant who can answer questions about the topic in the dataset.,What services are covered by this part?,All services not explicitly excluded by this section
You are a helpful assistant who can answer questions about the topic in the dataset.,When can you withdraw funds you've deposited?,
You are a helpful assistant who can answer questions about the topic in the dataset.,What types of transactions require special consideration when dealing with foreign currencies?,Large cash withdrawals and transactions in a foreign currency
You are a helpful assistant who can answer questions about the topic in the dataset.,How do I stop payments on a check,"Stop payments on a check by contacting your bank directly, providing your account information and the check number, and following their instructions."
You are a helpful assistant who can answer questions about the topic in the dataset.,What type of accounts require special information for transfers?,Account numbers
You are a helpful assistant who can answer questions about the topic in the dataset.,Can landlords require advance notice of withdrawals?,No
You are a helpful assistant who can answer questions about the topic in the dataset.,What type of check is rejected by Check Cashing?,"Incomplete, future-dated, conditional or stale-dated check"
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the meaning of the ellipsis in the text?,"A series of dots indicating omission or elision in a written text, used to signify that certain words or phrases have been omitted for brevity or clarity."
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the categories for facsimile signatures?,Facsimile signatures
You are a helpful assistant who can answer questions about the topic in the dataset.,What is a substitute check?,"A substitute check, also known as an accessory check, is a check that contains the same information as a primary check, but it does not directly draw against your account."
You are a helpful assistant who can answer questions about the topic in the dataset.,When You Don't Use Your Account,Inactive accounts
You are a helpful assistant who can answer questions about the topic in the dataset.,What are dormant accounts?,Accounts that have not been accessed or updated for a certain period of time.
You are a helpful assistant who can answer questions about the topic in the dataset.,When is your deposit considered received?,Funds are generally available on the first business day after we receive your deposit.
You are a helpful assistant who can answer questions about the topic in the dataset.,"For most accounts, what is the recommended length of a text message?",18
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the name of Chase Analysis Business Checking option with or without interest?,For Chase Analysis Business Checking (with or without Interest)
You are a helpful assistant who can answer questions about the topic in the dataset.,"What are the special rules for CDs, retirement CDs and retirement money market accounts?",
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the special rules for new accounts?,19 F.
You are a helpful assistant who can answer questions about the topic in the dataset.,What steps are taken to safeguard your information?,19 V.
You are a helpful assistant who can answer questions about the topic in the dataset.,What checks and other documents are used?,A. Checks and Other Documents
You are a helpful assistant who can answer questions about the topic in the dataset.,What should you review on your account statements?,Checks and other errors
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the purpose of using trusted devices for my account?,To add an extra layer of security and protection to prevent unauthorized access.
You are a helpful assistant who can answer questions about the topic in the dataset.,What is interest rate on checking and savings accounts?,21 A
You are a helpful assistant who can answer questions about the topic in the dataset.,What are statements and notices?,Statements and notices
You are a helpful assistant who can answer questions about the topic in the dataset.,What does combined statement mean?,"A combined statement is a sentence that contains two or more independent clauses joined by a conjunction, such as and, but, or, nor, for, so, or yet."
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the options for receiving checks?,Linked accounts
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the meaning of ....................................................... 22,Not enough text provided
You are a helpful assistant who can answer questions about the topic in the dataset.,"What is the effective date of the deposit account agreement for JPMorgan Chase Bank, N.A.",6/14/2026
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the fees associated with my account?,"Provisional and final deductions from your accounts, as well as interest charges"
You are a helpful assistant who can answer questions about the topic in the dataset.,What are account alerts?,Notifications about suspicious activity on your account.
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the purpose of form 22G?,Change of Address
You are a helpful assistant who can answer questions about the topic in the dataset.,How do I close my CD account?,Contact our customer service department to initiate the closure process.
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the governing laws of your account?,24
You are a helpful assistant who can answer questions about the topic in the dataset.,"What does ""Restricting Your Account"" mean?","Blocking or delaying transactions from your account due to suspicious activity, excessive usage, or security concerns."
You are a helpful assistant who can answer questions about the topic in the dataset.,What changes affect the Agreement?,Changes to the Agreement
You are a helpful assistant who can answer questions about the topic in the dataset.,What are prohibited activities and how should tax be reported?,"Prohibited activities include those related to terrorism, money laundering, and other serious crimes. Tax reporting typically involves filing tax returns with the relevant authorities, providing accurate financial information, and adhering to all applicable laws and regulations."
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the consequences for the bank?,"Death or incompetence of account owner or sole signer, or adverse claims"
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the purpose of authorization to share information?,"Authorization to share information is used to determine who can access and share certain data, ensuring that sensitive information is handled securely."
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the legal process for disputing information reported to a consumer reporting agency?,
You are a helpful assistant who can answer questions about the topic in the dataset.,What does L stand for in Abandoned Property,Liens
You are a helpful assistant who can answer questions about the topic in the dataset.,What are some common language preferences for people from different countries?,"There is no one-size-fits-all answer, as language preferences can vary widely depending on individual circumstances."
You are a helpful assistant who can answer questions about the topic in the dataset.,What are special provisions for pass-through accounts?,Pass-through accounts refer to entities that allow the flow of tax-deductible contributions and expenses without incurring significant taxes at the entity level.
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the permitted time for filing a lawsuit?,Sub-accounts
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the specific details required for pre-judgment interest rate in a contract?,27 S. Pre-judgment Interest Rate............................................................................................................................................... 27 T. Assignment of Agreement and Successors
You are a helpful assistant who can answer questions about the topic in the dataset.,Is there a waiver for university students?,No
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the name of a federal law that sets standards for pension and health plans?,Employee Retirement Income Security Act (ERISA)
You are a helpful assistant who can answer questions about the topic in the dataset.,What personal information is collected by this website?,"User IP address, Browser type and version, Device type and operating system, Location based on IP address, Cookies IDFAC,"
You are a helpful assistant who can answer questions about the topic in the dataset.,What does the Deposit Account Agreement govern?,Your account.
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the purpose of this document for personal or business deposit accounts with JPMorgan Chase Bank?,This document outlines the basic agreement between you and JPMorgan Chase Bank.
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the terms of the deposit account service agreement?,You and anyone else identified as an owner of the account agree to the terms in this Agreement.
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the exceptions to this agreement?,Products like credit cards and online banking or retirement accounts are not governed by this agreement.
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens in case of an irreconcilable conflict between the terms of this Agreement and any applicable Chase agreements and/or terms of service?,The terms of this Agreement will control unless otherwise explicitly stated.
You are a helpful assistant who can answer questions about the topic in the dataset.,What kind of information may be disclosed by [your company name]?,"product information, rate information, banking services and fees, and other disclosures, agreements, and amendments."
You are a helpful assistant who can answer questions about the topic in the dataset.,"What differences in products and services, along with fees and other terms, can I expect when comparing accounts across different geographic locations?","Products and services as well as associated fees, charges, interest rates and balance requirements may differ among different geographic locations."
You are a helpful assistant who can answer questions about the topic in the dataset.,"What does the term ""Account"" refer to in this Agreement?","Any deposit account, such as a checking or savings account, you have with us that is covered by this Agreement."
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the available balance in my ATM account?,The amount of money in your account that you can use right now.
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the formula for calculating my available balance?,Previous end of day balance + Pending credit transactions - Pending debit transactions
You are a helpful assistant who can answer questions about the topic in the dataset.,What is included in a transaction?,"Transactions include deposits that are not available yet for withdrawal, and any holds on your account."
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the definition of a check?,"A written order to pay a specific amount of money drawn on, payable through, payable at or processed by a bank or other depository institution."
You are a helpful assistant who can answer questions about the topic in the dataset.,What is considered a debit card transaction?,Any purchase or bill payment using your debit card
You are a helpful assistant who can answer questions about the topic in the dataset.,What does forms refer to in the context of J.P. Morgan Chase?,The J.P. Morgan Chase suite of digital online properties
You are a helpful assistant who can answer questions about the topic in the dataset.,What is direct deposit?,"An automatic electronic deposit made through the ACH network to your account by someone else, such as an employer issuing payroll or a government paying benefits."
You are a helpful assistant who can answer questions about the topic in the dataset.,What types of transactions can affect my account balance?,"Any check, ACH, funds transfer, online banking transaction, wire transfer, teller cash withdrawal, ATM withdrawal, debit card purchase, fee, charge or other instruction for an amount to be added to or subtracted from your balance."
You are a helpful assistant who can answer questions about the topic in the dataset.,Is my debit card considered overdrawn?,yes
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the current balance in my account?,"The total amount of money recorded in your account, including funds not yet available for you to use."
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the restrictions on using my personal account for business purposes?,You are not allowed to use it for business purposes
You are a helpful assistant who can answer questions about the topic in the dataset.,Does the most current signature card match the deposit system?,No
You are a helpful assistant who can answer questions about the topic in the dataset.,What is this information?,
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens to an account when only one individual is listed as the owner?,The account will be treated as a solely owned account.
You are a helpful assistant who can answer questions about the topic in the dataset.,What type of account allows multiple individuals to have complete control over the funds?,A joint account
You are a helpful assistant who can answer questions about the topic in the dataset.,Can you block an account that was initiated by a different joint owner?,"We are not required to do so, but we will refuse to pay all transactions, including those initiated by the owner making the request."
You are a helpful assistant who can answer questions about the topic in the dataset.,Can a request to unblock an account affect previously completed transactions?,No
You are a helpful assistant who can answer questions about the topic in the dataset.,Can any joint owner close the account on their own?,Yes
You are a helpful assistant who can answer questions about the topic in the dataset.,Can we withdraw joint account funds without the permission of other joint owners?,"Yes, we may pay all or part of the funds in the joint account to a court or government agency if we receive a garnishment, levy or similar legal process that identifies any of the joint owner"
You are a helpful assistant who can answer questions about the topic in the dataset.,,
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens to a joint account when one of its owners dies?,The account ownership is transferred to the surviving joint owners.
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens to a joint account with rights of survivorship?,The account continues as a joint account with rights of survivorship among the remaining owners.
You are a helpful assistant who can answer questions about the topic in the dataset.,What happens to an interest in a joint account without rights of survivorship when one joint owner dies?,The deceased owner's interest passes to the owner's estate.
You are a helpful assistant who can answer questions about the topic in the dataset.,What are the implications of designating an account as 'Tenants in common' or 'JTIC'?,This type of account does not have rights of survivorship.
