prompt,question,answer
You are a helpful assistant who can answer questions about the topic in the dataset.,"What does the term ""deposit"" refer to in the JPMorgan Chase Bank, N.A. agreement?",any instrument or instruction to place funds into a deposit account
You are a helpful assistant who can answer questions about the topic in the dataset.,What types of transactions are subject to potential credit to my account?,checks and substitute checks
You are a helpful assistant who can answer questions about the topic in the dataset.,Will you provide next-day notice for receipt of an electronic deposit?,No
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the process for confirming a deposit via ACH or wire transfer?,You can call us to confirm the deposit.
You are a helpful assistant who can answer questions about the topic in the dataset.,"What happens if the item on a check is altered, forged, or unauthorized?",We must repay the bank or issuer of the check.
You are a helpful assistant who can answer questions about the topic in the dataset.,Can an endorsement on a transaction be considered forged and make it unauthorized?,Yes
You are a helpful assistant who can answer questions about the topic in the dataset.,Can you subtract returned funds from my account?,"Yes, we may subtract the funds from your account."
You are a helpful assistant who can answer questions about the topic in the dataset.,Can you transfer funds from one account to another or charge transactions to other accounts even after withdrawing funds?,
You are a helpful assistant who can answer questions about the topic in the dataset.,Can the check or other transaction not have been paid and may not be paid for any other reason?,
You are a helpful assistant who can answer questions about the topic in the dataset.,Who is entitled to transaction records and receipts?,The account holder
You are a helpful assistant who can answer questions about the topic in the dataset.,Can the bank adjust my account balance based on an error on a deposit slip?,"Yes, they may debit or credit your account."
You are a helpful assistant who can answer questions about the topic in the dataset.,Is there a discrepancy or error with my account funds?,A discrepancy exists between the declared and actual amount of funds in your account.
You are a helpful assistant who can answer questions about the topic in the dataset.,Are night depository deposits and large cash deposits counted at a branch banker,No
You are a helpful assistant who can answer questions about the topic in the dataset.,"What is required in case of envelope, bag, or money loss?",A written receipt must be issued before issuing a refund.
You are a helpful assistant who can answer questions about the topic in the dataset.,Can I deposit a remotely created check without verifying its authorization?,"No, you must ensure it is authorized by the account owner."
You are a helpful assistant who can answer questions about the topic in the dataset.,Can I be held liable for a claim related to an electronically created item?,yes
You are a helpful assistant who can answer questions about the topic in the dataset.,How are transactions posted to my account?,We provide you with visibility into how transactions are posted and in what order to help you better manage your account.
You are a helpful assistant who can answer questions about the topic in the dataset.,What is the order of transactions during nightly processing?,"First, we make any previous day adjustments, and add deposits to your account. Second, we subtract transactions."
You are a helpful assistant who can answer questions about the topic in the dataset.,What types of transactions are checked on an account?,forms; checks drawn on your account; debit card transactions; wire transfers; and real-time payments (RTPs).
You are a helpful assistant who can answer questions about the topic in the dataset.,Why can't you show a transaction as pending if you haven't received an authorization request from the merchant?,Because the transaction occurred at the end of the day when posting is allowed.
You are a helpful assistant who can answer questions about the topic in the dataset.,What type of transactions can’t be processed automatically?,Overdraft Protection transfers or transfers to maintain target balances
